PR,BR,Domain,Type,RTDs,Table/Topic,Autoparsed?,ID,Text
3,30,Behavior & Child-Caregiver Interaction,pending,Done,MCHAT,Yes,ID-69,Addition of the Modified Checklist for Autism in Toddlers
3,30,Physical Health,pending,Done,PEDsQL,Yes,ID-70,Addition of the PEDsQL
3,30.1,Social & Environmental Determinants,pending,Done,TIC Questionnaire,Yes,ID-71,Addition of TIC Questionnaire table
3,30.1,Neurocognition & Language,known_issue,Done,CDI,Yes,ID-78,"Percentiles incorrectly converted for N=36 cases, resulting in values >100 ('Adjusted Percentile' incorrectly parsed from 'Total Produced' instead of 'Total Produced Percentile-sex (adjusted)')"
3,30.1,Demographics,known_issue,Done,Visit Info,Yes,ID-79,Harmonize participant status and withdrawal fields
3,30.2,Neurocognition & Language,known_issue,Done,Vineland,Yes,ID-80,"The Coping Skills, Domestic, and Written subscales are not administered at V05 because children are too young. However, for some participants, the missing reason is incorrectly coded as ""Logic skipped"" or ""Unknown"" in the shadow matrix. In addition, the age of one child is outside of the valid bounds for V05."
3,30,Demographics,known_issue,Done,Basic Demo,Yes,ID-81,The `screen_race_multi__*` variables are almost entirely coded as '0' and should not be used for analysis. Users interested in race and ethnicity information should instead use the corresponding derived ACS race and ethnicity variable. Values will be corrected in a future release.
3,30.1,All Data / General,known_issue,Done,Incorrect JSONs,Yes,ID-83,"Metadata field values were corrected for several instruments, but are not yet corrected in the JSON files. IN PARTICULAR, PLEASE CHECK `type_data` CAREFULLY as an incorrect data type may impact analyses. Impacted instruments include: **APA 1/2**, **Bayley-4**, and **EEG Form-2**. See details in [Release Notes](../release-notes/#data-warning)."
3,30.1,All Data / General,pending,Done,FamilyID,Yes,ID-84,"A `FamilyID` field will be added to instruments to identify sibling relationships. Until then, sibling ID mapping (Main Child vs Sibling) is provided in the [HBCD Private Release Notes](https://hbcd-docs-private.lassoinformatics.com/#download)."
3,30.2,MRI,pending,Done,QSIRecon,Yes,ID-86,Tabulated data for QSIRecon (participant data combined across derivative files into single tidy table) will be provided in a future release.
3,30.2,MRI,pending,Done,Postprocessing,Yes,ID-87,Addition of individual functional network maps (generated with template matching) and [ModelArray](https://modelarrayio.readthedocs.io/en/latest/) outputs for XCP-D for efficient voxel-wise statistical modeling.
3,30.1,MRI,pending,Done,Scanner info,Yes,ID-108,"Scanner metadata, currently available within the raw BIDS Scans TSV files, will be additionally provided within the tabulated data for ease of access (see [Participant Derived](#infobbox) domain info on this page)."
,,Physical Health,pending,Done,Vision Screener,Yes,ID-109,Add more fields to `ph_ch_vs` (current release only includes completion status and overall screening results).
,,All Data / General,pending,Done,Sequence Field,Yes,ID-110,The currently included Sequence field is blank across all instruments and will be removed.
,,Neurocognition & Language,known_issue,Done,MLDS,Yes,ID-119,Total non-parental hours/week (`ncl_ch_mlds_arr_hr_wk`) includes implausible values due to data entry errors. Exclude values >168 hours from analysis.
,,MRI,known_issue,Done,Run ID,Yes,ID-128,"The `run-{X}` field may not reflect chronological acquisition order. While this affects both **raw BIDS and derivatives**, data remain internally consistent (i.e. run IDs match between raw and processed datasets)."
,,Physical Health,pending,Done,BISQ-SF,Yes,ID-134,Add Infant Sleep (IS) sub-scale score to `ph_cg_bisq`.
,,Pregnancy & Environmental Exposure,known_issue,Done,Healthv2 Preg,Yes,ID-137,"The field for the date when PNV was stopped (`pex_bm_healthv2_preg__exp__pnv_007__01`) is blank, despite participants having reported stopping."
,,Pregnancy & Environmental Exposure,known_issue,Done,Healthv2 Preg,Yes,ID-138,Note that items about aspirin use (`pex_bm_healthv2_preg__exp__pnv_{011|012}`) are largely blank.
,,All Data / General,known_issue,Done,Instruction,Yes,ID-142,The 'instruction' data dictionary element is currently blank.
,,Behavior & Child-Caregiver Interaction,pending,Done,ECHO,Yes,ID-146,Addition of the Early Child Care and Education
,,MRI,known_issue,Done,dMRI metadata,Yes,ID-154,`LargeDelta` and `SmallDelta` in the sidecars currently are set to vendor-specific values (which aren't always correct because the models have their own values) and will be updated to reflect accurate values.
,,MRI,pending,Done,Raw QC Metrics,Yes,ID-155,Raw MR data QC metrics provided in the raw BIDS SCANS TSV files will be combined into a single table across participants/sessions.
3,30,Novel Tech & Wearable Sensors,pending,Archived to BR,GABI,Yes,ID-654,Addition of raw BIDS data for GABI (infant heart rate).
3,30,EEG,pending,Archived to BR,MADE v1.7.0,Yes,ID-655,HBCD-MADE derivatives processed through updated version v1.7.0
3,30.1,MRI,pending,Archived to BR,Source DICOMs,Yes,ID-657,Add source DICOMs for all imaging modalities.
3,30,Neurocognition & Language,pending,Archived to BR,CDI-2,Yes,ID-661,Addition of the MacArthur-Bates CDI-2 Language
3,30,Physical Health,pending,Archived to BR,Med History V1,Yes,ID-662,Addition of V06
