Name	PR	BR	Final BR	Status	WG	Domain	RTDs	RTDs_Status	Table/Topic	RTDs Text (markdown format)	Autoparsed?
[TYPE_DATA INCORRECT] - ph_ch_anthro_average_bmi	3			Not started yet	PHYSICAL HEALTH	PHYSICAL HEALTH	known_issue	Done	Growth	The Data Dictionary element `type_data` for `average_bmi` will be corrected to `double` (currently=`character`).	Yes
Add DICOMs to release				Not started yet	UNSURE	MRI	pending	Done	DICOMs	Addition of source DICOMs for all imaging modalities.	Yes
Add in &apos;ANALYSIS DATE&apos; for biospecimens	3			Blocked without leadership direction	BIOSPECIMEN & OMICS	BIOSPECIMEN & OMICS	data_warning	Done	NA		No
Remove &apos;sequence&apos; field from all tables in Lasso	3			Active	ALL	GENERAL	pending	Done	Sequence Field	The currently included Sequence field is blank across all instruments and will be removed.	Yes
[2.0 SCORING CORRECTION NEEDED]- V03 MAPS-TL	3			LORIS reviewing	BEHAVIOR & CAREGIVER-CHILD INTERACTION	BEHAVIOR & CAREGIVER-CHILD INTERACTION	known_issue	Done	MAPS-TL (<1yr)	N=4 participants in `mh_cg_mapdb__inf` had no responses, but were scored 0; until resolved, set to null before analysis.	Yes
[SCORING CORRECTION NEEDED]- EPDS	3			LORIS reviewing	PREGNANCY & EXPOSURE	PREGNANCY & EXPOSURE	known_issue	Done	EPDS	Some V01-V03 records show inconsistencies between item responses and the calculated sum score, including (1) items present, but sum score is null; (2) items null, but sum score is 0.	Yes
Anthro: ph_ch_anthro_head_for_age_boys_z_score	3			LORIS reviewing	PHYSICAL HEALTH	PHYSICAL HEALTH	known_issue	Done	Growth	Growth (`ph_ch_anthro`) filter ranges will be updated to be visit-specific, as current ranges allow biologically implausible values (see [Range Checks](https://docs.hbcdstudy.org/latest/instruments/physhealth/growth/#warning)).	Yes
[SCORING ERROR]- APA individual items present, but no score	3			LORIS reviewing	PREGNANCY & EXPOSURE	PREGNANCY & EXPOSURE	known_issue	Done	APA 1/2	APA Level 2 was sometimes administered despite unmet gating criteria (e.g., missing Level 1 responses). These cases are not scored (“No additional inquiry required”) even when Level 2 responses are present. Level 2 item data will be removed to avoid confusion.	Yes
[DD+DATA ERROR] Nail type field added for 2.0 all "Unknown"				Waiting on WG feedback	BIOSPECIMEN & OMICS	BIOSPECIMEN & OMICS	known_issue	Done	Nails	Use `bio_bm_biosample_nails_typ_collection_nail_type` *specimen type* table for nail type (*results* table values are all 4 (Unknown)).	Yes
[LORIS TO REVIEW]- pex_bm_healthv2_preg__exp__pnv_007__01 is completely blank				Active	PREGNANCY & EXPOSURE	PREGNANCY & EXPOSURE	known_issue	Done	Healthv2 Preg	The field for the date when PNV was stopped (`pex_bm_healthv2_preg__exp__pnv_007__01`) is blank, despite participants having reported stopping.	Yes
[LORIS TO REVIEW]- aspirin items in health v2 preg				Active	PREGNANCY & EXPOSURE	PREGNANCY & EXPOSURE	known_issue	Done	Healthv2 Preg	Note that items about aspirin use (`pex_bm_healthv2_preg__exp__pnv_{011|012}`) are largely blank.	Yes
[DATA REQUEST]- consistent ICD code names	3			Not started yet	PREGNANCY & EXPOSURE	PREGNANCY & EXPOSURE	pending	Done	PEX Health	ICD codes for the `pex_bm_health*` instrument tables are inconsistently provided, sometimes missing corresponding names/labels. For example, medication names are present for the _Health V1- Medications_, while the _Health V2- Pregnancy_ instrument only has medication codes without corresponding labels. Until resolved, users can use external packages to merge ICD labels if needed: [Stata](https://www.stata.com/features/overview/icd/), [SAS](https://hcup-us.ahrq.gov/toolssoftware/ccsr/dxccsr.jsp), [R](https://www.rdocumentation.org/packages/icd/versions/3.3)	Yes
ERICA derived fields for reliability and codes QC	3			Active	BEHAVIOR & CAREGIVER-CHILD INTERACTION	BEHAVIOR & CAREGIVER-CHILD INTERACTION	on hold/later	TBD	ERICA		TBD
Inclusion of Blood Spot Card Results data from USDTL. Addressing issue of incorrect cleaning practices at sites that affect test results PEth.	3			Not started yet	BIOSPECIMEN & OMICS	BIOSPECIMEN & OMICS	on hold/later	TBD			TBD
[INCORRECT DATA TYPES]- most neurocog/lang variables	3			Started, outprioritized	NEUROCOGNITION & LANGUAGE	NEUROCOGNITION & LANGUAGE	known_issue	Done	Data Type	Summary score variables in the Bayley and CDI are misclassified as text in the metadata, which may cause formatting issues in some tools.	Yes
DD &apos;instruction&apos; field all blank	3			Not started yet	ALL	GENERAL	known_issue	Done	Instruction	The &apos;instruction&apos; Data Dictionary element is currently blank.	Yes
EEG file was not re-id&apos;d (put in RTD) need to dig into how it happened -	2.1	21.1	21	Done	EEG	EEG	known_issue	Archived to BR	.set files	Update EEG .set files to include subject release IDs.	Yes
[ADD FIELD]- language field for Vineland (distinct from "language of administration" field to be implemented consortium-wide)	2.1	21	21	Done	NEUROCOGNITION & LANGUAGE	NEUROCOGNITION & LANGUAGE	pending	Archived to BR	Vineland	Addition of language field to `ncl_cg_vabs`.	Yes
[DATA DICTIONARY CORRECTION]- MLDS  Â Â Â  special characters	2.1	21	21	Done	NEUROCOGNITION & LANGUAGE	NEUROCOGNITION & LANGUAGE	known_issue	Archived to BR	MLDS	Correct Data Dictionary &apos;description&apos; element to remove erroneous text that appears at end (e.g., "√Ç √Ç √Ç √Ç ")	Yes
[MISSING VARIABLE]- sed_bm_demo_residence_001 and _002	2.1	21	21	Done	SED	SOCIAL & ENVIRONMENTAL DETERMINANTS	known_issue	Archived to BR	Demographics	The variables `sed_bm_demo_residence_{001|002}`, present in the prior release, are missing in the current release and will be added back.	Yes
[DATA DICTIONARY ERROR]- remove " " from biospecimen table levels	2.1	21	21	Done	BIOSPECIMEN & OMICS	BIOSPECIMEN & OMICS	known_issue	Archived to BR	Nails & Urine	Data dictionary level values have quotes around them, causing the downloaded to have double quotes (e.g. 1=""positive"").	Yes
Update BrainSwipes data with latest results for patch	2.1	21	21	Done	MRI	MRI	pending	Archived to BR	BrainSwipes	BrainSwipes QC results will be updated with latest results  currently available in the [HBCD Private Release Notes](https://hbcd-docs-private.lassoinformatics.com/#download).	Yes
Add ERICA raw scores	2.1	21	21	Done	BEHAVIOR & CAREGIVER-CHILD INTERACTION	BEHAVIOR & CAREGIVER-CHILD INTERACTION	pending	Archived to BR	ERICA	Addition of the ERICA instrument.	Yes
[LABEL UPDATE]- roster variables	2.1	21	21	Done	SED	SOCIAL & ENVIRONMENTAL DETERMINANTS	pending	Archived to BR	Child Demo	Household roster will be updated to clarify that counts exclude the main child - see "Household Roster" under [Data Warning](https://docs.hbcdstudy.org/latest/instruments/SED/demo-ch/#warning) for details.	Yes
[VARIABLE NAME TYPO]- vineland	2.1	21	21	Done	NEUROCOGNITION & LANGUAGE	NEUROCOGNITION & LANGUAGE	known_issue	Archived to BR	Vineland	Subset of variables have a typo in the spelling of "receptive."	Yes
Tabulated MRI: correct subdomain field in JSONs for 6 XCP-D files	2.1	21	21	Done	MRI	MRI	known_issue	Archived to BR	XCP-D	Tabulated XCP-D Myers-Labonte tables (`img_xcpd_hash-{X}_space-fsLR_seg-MyersLabonte_stat-mean_desc-_morph`) metadata will be corrected to have a `sub_domain` value of `Structural MRI` (currently `Resting State fMRI`).	Yes
